votu,taxa,consensus_domain,sub_domain_consensus
4Wh2oV_0h_scaffold_1666678,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces fradiae",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1666684,"Archaea,TACK group,Thaumarchaeota,Thaumarchaeota incertae sedis,Candidatus Nitrosotenuis",Archaea,Archaea
4Wh2oV_0h_scaffold_1666759,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis group",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1667358,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Promicromonosporaceae,Xylanimicrobium,unclassified Xylanimicrobium",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_16681,"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,unclassified Sphingobium",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1668311,"Bacteria,Terrabacteria group,Cyanobacteria/Melainabacteria group,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriales incertae sedis,Koinonema,unclassified Koinonema",Bacteria,Terrabacteria group
4Wh2oV_0h_scaffold_1668771,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_166992,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,unclassified Amycolatopsis",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1670056,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Plantactinospora,unclassified Plantactinospora",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1670217,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,unclassified Bartonella",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1670595,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,unclassified Bradyrhizobium",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1670723,"Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfocurvibacter,Desulfocurvibacter africanus,Desulfocurvibacter africanus subsp. africanus",Bacteria,delta/epsilon subdivisions
4Wh2oV_0h_scaffold_1671232,"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter",Bacteria,Gammaproteobacteria
4Wh2oV_0h_scaffold_1671683,"Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unclassified Sphingomonas",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1672245,"Bacteria,Terrabacteria group,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus",Bacteria,Terrabacteria group
4Wh2oV_0h_scaffold_1672779,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Micromonospora,unclassified Micromonospora",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1673244,"Bacteria,Terrabacteria group,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexineae,Roseiflexaceae,Roseiflexus,unclassified Roseiflexus",Bacteria,Terrabacteria group
4Wh2oV_0h_scaffold_1673942,"Bacteria,Terrabacteria group,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,unclassified Clostridium",Bacteria,Firmicutes
4Wh2oV_0h_scaffold_1673970,"Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae",Bacteria,Gammaproteobacteria
4Wh2oV_0h_scaffold_1674633,"Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria incertae sedis,Micavibrio,Micavibrio aeruginosavorus",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1675083,"Bacteria,Proteobacteria,delta/epsilon subdivisions,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio vulgaris",Bacteria,delta/epsilon subdivisions
4Wh2oV_0h_scaffold_1675961,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1676777,cellular organisms,unknown,unknown
4Wh2oV_0h_scaffold_1676792,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,unclassified Rhodococcus",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1676929,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1676953,"Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae",Bacteria,Firmicutes
4Wh2oV_0h_scaffold_1677484,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,unclassified Rhodococcus",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1677691,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1678432,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Plantibacter,unclassified Plantibacter",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1678592,"Bacteria,Terrabacteria group,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,unclassified Clostridium",Bacteria,Firmicutes
4Wh2oV_0h_scaffold_1678700,"Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Ferriphaselus",Bacteria,Betaproteobacteria
4Wh2oV_0h_scaffold_1678878,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Leucobacter",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1679084,"Bacteria,Terrabacteria group,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Hungatella,Hungatella hathewayi",Bacteria,Firmicutes
4Wh2oV_0h_scaffold_1679222,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Alloactinosynnema,unclassified Alloactinosynnema",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1679269,"Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfatator,Thermodesulfatator indicus",Bacteria,other bacterial phyla
